index,languages,coef
Only languages,English Language,1.5172192411221208
Languages and Countries,English Language,0.6130612525435737
Only languages,Japanese Language,0.7220224275163375
Languages and Countries,Japanese Language,0.648708548431104
Only languages,Spanish Language,0.5733110232109674
Languages and Countries,Spanish Language,0.5791988259878932
Only languages,French Language,0.4385477492120782
Languages and Countries,French Language,0.6599080963062796
Only languages,Italian Language,0.42874405927706916
Languages and Countries,Italian Language,0.5020954645177057
Only languages,other_languages,0.388612215357942
Languages and Countries,other_languages,0.5603962336760875
Only languages,German Language,0.3181470846423188
Languages and Countries,German Language,0.3496937288821413
Only languages,Korean Language,0.19440620901783467
Languages and Countries,Korean Language,0.30509565397375205
