,movie_runtime,log_revenues,Revenue_with_inflation,Interval
0,98.0,16.957621198760567,23152682.320496894,60-120
1,123.0,17.698160749809627,48552718.73571429,120-180
2,103.0,15.838345129538567,7559723.168322981,60-120
3,87.0,18.58309367581613,117634589.17453416,60-120
4,113.0,19.267045682692995,233115753.1242236,60-120
5,112.0,18.122439495943894,74212228.26273292,60-120
6,123.0,18.374024758307332,95441567.38136646,120-180
7,118.0,17.91242296289755,60154268.546583846,60-120
8,96.0,16.307944120364308,12090663.732298136,60-120
9,89.0,19.26811421311855,233364977.52732918,60-120
10,84.0,17.145633344148116,27941772.356211178,60-120
11,102.0,16.415262097119612,13460393.238819875,60-120
12,104.0,19.70662031440799,361806578.8437888,60-120
13,121.0,18.492200569810702,107413944.6226708,120-180
14,93.0,18.66827874244949,128094488.69068323,60-120
15,100.0,13.137641592419254,507697.76180124225,60-120
16,112.0,12.965978675746673,427615.0593167702,60-120
17,91.0,15.864454900026107,7759705.186645962,60-120
18,113.0,18.92316153982856,165281648.92298135,60-120
19,84.0,12.0628806182054,173317.5288819876,60-120
20,89.0,16.95013918839127,22980100.14720497,60-120
21,86.0,19.61953938600895,331632964.2645963,60-120
22,168.0,16.10926821690807,9912114.133540373,120-180
23,102.0,13.345394870763261,624929.9677018634,60-120
24,131.0,18.087530258371935,71666233.86925466,120-180
25,115.0,15.707455627565095,6632256.343478261,60-120
26,109.0,11.519301189939155,100639.60931677019,60-120
27,94.0,19.933482205768104,453943003.7701863,60-120
28,95.0,16.924821738109923,22405605.658074535,60-120
29,111.0,18.114797726278006,73647276.87142856,60-120
30,144.0,18.57698403563957,116918075.21242236,120-180
31,91.0,18.54415635264091,113142240.73291925,60-120
32,95.0,16.019014708466997,9056693.979192546,60-120
33,97.0,13.097708592763068,487823.3310559006,60-120
34,40.0,16.93165128697596,22559149.557763975,0-60
35,118.0,17.19250398140017,29282598.256832298,60-120
36,117.0,20.428630434914073,744803091.6614907,60-120
37,103.0,17.7094628163734,49104577.49254658,60-120
38,93.0,17.57921628992974,43107876.591925465,60-120
39,93.0,16.64304963595289,16903810.63695652,60-120
40,99.0,13.448893673971243,693075.1223602485,60-120
41,184.0,20.425305303136945,742330636.1319876,180-240
42,115.0,17.650297132825568,46283548.54099379,60-120
43,115.0,18.50371442719515,108657840.74161491,60-120
44,88.0,19.31455789913498,244458935.3354037,60-120
45,119.0,14.787794083267926,2643975.155279503,60-120
46,97.0,19.272029483768776,234280455.5773292,60-120
47,104.0,15.712844338255158,6668092.1217391305,60-120
48,125.0,20.38855883744394,715547711.4763975,120-180
49,119.0,17.071770032730623,25952280.200931676,60-120
50,109.0,18.10430440734332,72878513.00279503,60-120
51,97.0,19.308769918446966,243048098.62515527,60-120
52,101.0,17.749174757769413,51093853.17236025,60-120
53,93.0,16.82904631096944,20359258.12204969,60-120
54,96.0,17.920134854050364,60619965.110559,60-120
55,86.0,17.308528577543306,32885045.80310559,60-120
56,100.0,17.175583348323382,28791286.5310559,60-120
57,108.0,13.659763282517146,855775.4385093168,60-120
58,100.0,18.483491600847913,106482541.57981366,60-120
59,91.0,11.30462713873852,81196.47701863354,60-120
60,99.0,17.016868189338638,24565858.948757764,60-120
61,124.0,16.4692413297545,14206942.758695653,120-180
62,140.0,19.471022225921384,285862712.102795,120-180
63,108.0,13.565339029563104,778667.2080745342,60-120
64,151.0,18.79186998065723,144945733.79658386,120-180
65,93.0,16.98037260661294,23685476.363975156,60-120
66,96.0,18.00607560657393,66060107.588509314,60-120
67,111.0,16.488145364593265,14478065.886024844,60-120
68,107.0,19.65187992583586,342533467.3680124,60-120
69,85.0,18.231906168207086,82797313.08850932,60-120
70,92.0,18.311380432533195,89646115.95465839,60-120
71,104.0,16.656928377610473,17140049.817080744,60-120
72,128.0,16.35127705847549,12626105.05590062,120-180
73,95.0,15.960554432571916,8542416.024223601,60-120
74,111.0,17.512612287338186,40330246.84006211,60-120
75,94.0,17.76088892776934,51695894.57763975,60-120
76,89.0,16.892463307777152,21692200.01925466,60-120
77,105.0,18.836892839530467,151620741.56583852,60-120
78,125.0,16.461088682881144,14091589.42763975,120-180
79,83.0,14.226159696832736,1507796.2366459628,60-120
80,100.0,11.614727794431019,110716.45962732918,60-120
81,93.0,16.98777167314074,23861376.726086956,60-120
82,95.0,20.583788376472796,869812628.1481366,60-120
83,132.0,20.180547008614454,581166011.8099378,120-180
84,95.0,17.47035761597588,38661607.67981366,60-120
85,83.0,13.605409484346945,810502.3214285714,60-120
86,110.0,18.586665887637807,118055556.28881988,60-120
87,108.0,19.979199714277335,475177850.6195652,60-120
88,147.0,17.31912396133662,33235327.894099377,120-180
89,83.0,18.11239948068408,73470864.23913044,60-120
90,129.0,18.89225676342127,160251780.33229813,120-180
91,127.0,19.506367918271028,296147416.8677018,120-180
92,98.0,16.307061907961366,12080001.902484471,60-120
93,112.0,15.73274685619017,6802133.399689441,60-120
94,126.0,19.280981597665974,236387176.63354036,120-180
95,116.0,17.74489454023501,50875627.725465834,60-120
96,94.0,14.368434137458227,1738327.7354037266,60-120
97,120.0,12.923838850910109,409969.8301242236,60-120
98,85.0,14.345733388345268,1699310.9245341613,60-120
99,83.0,18.95244697360662,170193566.47701862,60-120
